SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
FCSP-01,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.089,21,86.7,M,,,0,0,0,7653,76,6.33584031414216,4.96394590414125,0.79449479742849,NA,36,1145,0.149614530249575,1,10,0.00454545454545455,Low,0.161864681126578,Pooped in mucosome bath
FCSP-02,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.117,19,84,M,,,0,0,0,5607,86,8.33564942814132,4.73217833134077,0.736380854504669,NA,62,3544,0.632067059033351,1,10,0.00454545454545455,Low,0.130667712008363,NA
FCSP-03,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.061,14,75.1,M,,,0,0,0,4381,30,4.50119668024547,2.89498410281911,0.589983421560286,NA,34,2145,0.489614243323442,1,4,0.00181818181818182,Low,0.10365379632029,NA
FCSP-04,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.198,16,75.1,F,,,0,0,0,9623,146,10.1586435119603,5.07570184949218,0.705956286961589,NA,79,4173,0.433648550348124,3,50,0.0227272727272727,Low,0.347753512310474,NA
FCSP-05,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,NA,10,77.7,F,,,0,0,0,7598,31,3.70201270365055,2.46099685947095,0.496749968165627,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red circular markings on a patch of skin with lack of pigmentation on right forelimb on the ventrum. See photos. Newt was too emaciated to comfortably biopsy.
FCSP-06,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.355,19,78.3,M,,,0,0,0,4718,70,6.95533453811152,4.32203165204257,0.705144735541485,NA,67,2810,0.59559135226791,0,0,0,Low,0,NA
FCSP-07,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.136,15,68,M,,,0,0,0,5336,134,9.6025914519339,5.89887210842045,0.8348142727078,NA,89,4972,0.931784107946027,2,68,0.0309090909090909,Low,2.05004522158577,Odd black circular
FCSP-08,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.097,15,73.8,F,,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
FCSP-09,Swab,06/12/21,FCSP,46.256075,-123.917127,Taricha_granulosa,Tg,NA,0.187,15,75,M,,,0,0,0,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
GRP-01,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,1.656,14,75.8,F,,,0,0,0,10603,89,6.86224835239534,4.2170131124942,0.651202393898552,NA,51,6881,0.648967273413185,3,118,0.0536363636363636,High,1.0562119584676,NA
