id	SwabID	Sample_Date	Location	Lat	Lon	Species	Sp_Abv	TTX_nmol_mg	TTX_mg	mass_g	svl_mm	sex	breeding_condition	Notes	DateDNAExtracted	zoospore_estimates	Log_bd	infected	ReadCount	antifungal_richness	antifungal_total	Propor_TotalAntiFungal	Propor_TotalAntiFungalRichness	TTX_Richness	TotalTTX	Propor_TotalTTX	TTX_Whole	Bd_Real	faith_pd	shannon_entropy	observed_features	pielou_evenness
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	categorical	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric
Tt.10A1	10A1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.16666651	0.122752158	20.04	68.93	M	aquatic		1/10/22	0	0	0	6128	18	205	0.053947368	0.147540984	1	2	0.000526	Low	Negative	15.1916623972681	2.6526630133386	122	0.382738932979298
Tt.10A2	10A2	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	1.057675309	0.603085706	25.39	72.83	M	aquatic		1/9/22	0	0	0	10169	19	376	0.098947368	0.263888889	1	3	0.000789	Low	Negative	9.22048484099594	2.31037726958348	72	0.374457917890963
Tt.10C1	10C1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.121919759	1.563532743	22.34	73.33	M	aquatic		1/10/22	0	0	0	9383	2	43	0.011315789	0.4	0	0	0	High	Negative	1.02649416227325	0.763756356227376	5	0.328931958706682
Tt.10C2	10C2	2/20/20	Crocker	38.770492	-122.970651	Taricha_torosa	Tt	8.546336737	8.576157362	11.64	65.33	M	terrestrial	This male was possibly a T. granulosa	1/9/22	0	0	0	11372	29	3444	0.906315789	0.439393939	4	60	0.015789474	High	Negative	7.40378004530771	2.64203270234274	66	0.437104637813254
Tt.10D1	10D1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.697500674	0.553130162	19.87	73.16	M	aquatic		1/10/22	0	0	0	12017	4	7	0.001842105	0.5	0	0	0	Low	Negative	0.974110066262028	1.20947979640105	8	0.403159932133683
Tt.10E1	10_E1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.234734727	0.776234625	23.99	78.96	M	aquatic		1/9/22	0	0	0	9643	12	111	0.029210526	0.571428571	1	2	0.000526	Low	Negative	3.36625490171389	1.23923401541019	21	0.282136716482162
Tt.10F1	10F1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.436645527	0.40867308	25.02	74.9	M	aquatic		1/10/22	0	0	0	12402	5	5	0.001315789	0.5	1	1	0.000263	Low	Negative	1.85343280681309	1.39498857578233	10	0.419933404919059
Tt.10G1	10G1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.378948746	0.779169443	28.51	84.6	M	aquatic		1/10/22	0	0	0	10664	12	92	0.024210526	0.705882353	0	0	0	Low	Negative	2.15327903139655	1.08417674205044	17	0.265244427694612
Tt.10H1	10H1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.867874946	0.644371719	18.3	75.94	M	aquatic		1/10/22	0	0	0	12211	9	84	0.022105263	0.642857143	1	13	0.003421053	Low	Negative	2.85848418758064	1.0895676424257	14	0.286174434674681
Tt.10H4	10H4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	1.322443271	0.98551511	12.57	61.47	F	non-gravid		1/9/22	398.3964	2.6014	1	9851	12	2003	0.527105263	0.206896552	0	0	0	Low	Positive	9.12395311121224	2.39510083705349	58	0.408861148413701
Tt.10I1	10I1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.33156451	0.386375339	20.02	74.69	F	gravid		1/9/22	0	0	0	12156	18	1065	0.280263158	0.580645161	2	120	0.031578947	Low	Negative	4.80630126351105	1.76931612208676	31	0.357134843118196
Tt.10I4	10I4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	1.085728784	1.045689086	17.04	70.46	M	terrestrial		1/9/22	563.2262	2.7515	1	10586	4	2220	0.584210526	0.08	0	0	0	High	Positive	9.0061585067906	2.20860275690259	50	0.391328673629926
Tt.10J4	10J4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.154988631	0.297878997	21.89	72.13	M	aquatic		1/9/22	23038.596	4.3625	1	12297	8	2568	0.675789474	0.242424242	0	0	0	Low	Positive	5.35110277406932	2.13402282665221	33	0.423048393158387
Tt.10K1	10K1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.639088103	1.471545461	17.69	73.37	F	gravid		1/10/22	0	0	0	9923	19	1438	0.378421053	0.452380952	2	34	0.008947368	High	Negative	4.86658015881869	2.42999077596156	42	0.450639416310426
Tt.10K4	10K4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.024301955	0.020791206	23.56	74.67	M	terrestrial		1/9/22	195.3811	2.2931	1	9801	25	3433	0.903421053	0.257731959	4	21	0.005526316	Low	Positive	12.7305310387472	1.90220477493293	97	0.288216650797856
Tt.10L1	10L1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.230113682	1.8287783	22.91	82.37	F	gravid		1/10/22	0	0	0	12380	10	17	0.004473684	0.666666667	0	0	0	High	Negative	2.87765990244941	1.55609565724829	15	0.398295170844403
Tt.10M4	10M4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.857241683	0.464483663	14.57	66.22	F	gravid		1/9/22	339.3025	2.5319	1	8998	21	3646	0.959473684	0.381818182	1	28	0.007368421	Low	Positive	5.66347027904635	2.21384813096698	55	0.38292862590577
Tt.10N1	10N1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.009441557	0.005138848	8.58	56.37	M	aquatic		1/10/22	0	0	0	9416	21	839	0.220789474	0.368421053	4	171	0.045	Low	Negative	9.26699260250405	2.87757472655415	57	0.493336016891484
Tt.10N4	10N4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.385962096	0.150686589	19.32	70.13	M	terrestrial		1/9/22	2740.7167	3.438	1	13737	12	3112	0.818947368	0.315789474	0	0	0	Low	Positive	6.07485024949938	1.86021580185021	38	0.35446674846116
Tt.10O1	10O1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.052993898	0.031540967	14.11	66.82	M	aquatic		1/10/22	0	0	0	12674	5	138	0.036315789	0.294117647	0	0	0	Low	Negative	3.65601182220064	0.356452575460813	17	0.0872063158259257
Tt.10O4	10O4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	1.242157309	0.911101085	17.71	69.71	F	non-gravid		1/9/22	304.7576	2.4854	1	11118	11	1150	0.302631579	0.407407407	1	25	0.006578947	Low	Positive	4.57258394738517	1.5156087288425	27	0.31874754726645
Tt.10P4	10P4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.073777302	0.062895111	13.02	67.19	M	aquatic		1/9/22	4370.7441	3.6407	1	10423	10	2194	0.577368421	0.212765957	2	7	0.001842105	Low	Positive	6.78560244090329	1.6305155112123	47	0.293543870617866
Tt.10Q4	10Q4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.17585915	0.167713996	19.8	73.33	M	terrestrial		1/9/22	10081.8871	4.0036	1	12658	7	1420	0.373684211	0.155555556	1	1	0.000263	Low	Positive	8.58515366815857	2.19066266723968	45	0.398893165715548
Tt.10R4	10R4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.57056911	0.317096917	12.93	66.23	F	non-gravid		1/9/22	1476.4031	3.1695	1	10740	18	2201	0.579210526	0.191489362	3	34	0.008947368	Low	Positive	10.5065230984503	3.14210015333309	94	0.479374103309146
Tt.10S1	10S1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.0089252	0.00278691	4.31	50.28	F	non-gravid		1/10/22	0	0	0	8929	7	118	0.031052632	0.132075472	3	26	0.006842105	Low	Negative	8.23491056731541	2.2615633808718	53	0.394831492303652
Tt.10T1	10T1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.393167858	0.783089788	32.27	70.75	M	aquatic		1/9/22	563.8437	2.7519	1	3838	25	1699	0.447105263	0.23364486	5	235	0.061842105	Low	Positive	11.3902251988261	4.49056351556318	107	0.666110732963838
Tt.10U1	10U1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.115884477	0.051258663	11.78	63.56	F	gravid		1/10/22	0	0	0	3990	25	2068	0.544210526	0.185185185	3	47	0.012368421	Low	Negative	13.384922904846	4.99308486408048	135	0.70555531589113
Tt.10V1	10V1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.520732414	0.459095405	24.37	70.19	M	aquatic		1/10/22	0	0	0	5659	30	662	0.174210526	0.291262136	2	17	0.004473684	Low	Negative	9.96703179572739	3.56102417722617	103	0.532569191126094
Tt.10W1	10W1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.416526987	0.417578971	21.83	65.67	M	aquatic		1/10/22	0	0	0	12444	25	1093	0.287631579	0.568181818	0	0	0	Low	Negative	4.67726610124419	2.33090189542918	44	0.426949554138932
Tt.10X1	10X1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.352955483	0.208501457	33.03	71.28	M	aquatic		1/10/22	242.9836	2.3874	1	11176	24	710	0.186842105	0.413793103	1	257	0.067631579	Low	Positive	5.66735022742319	3.0482742763067	58	0.520362609377213
Tt.10Y1	10Y1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.801312867	0.542642659	26.75	71.23	M	aquatic		1/9/22	45.7554	1.6698	1	11649	16	801	0.210789474	0.432432432	1	4	0.001052632	Low	Positive	4.30873780323509	1.90555543033864	37	0.365787981309355
